source_ref,official_name,brand_family,name,address,city,state,zip,lat,lng,interstate,exit_number,interstate_raw,parking_spaces,fuel_lanes,showers,overnight_parking,parking_restrictions,cat_scale,amenities,has_parking,disposition,db_ids,match_evidence,note
30,Pilot Travel Center,Pilot,Pilot Travel Center #30,2640 N 600 W,Greenfield,IN,46140,39.82150283618834,-85.91623097168883,I-70,96,"I-70, Exit 96",90,9,9,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
3,Pilot Travel Center,Pilot,Pilot Travel Center #3,1150 North Canfield Niles Road,Youngstown,OH,44515,41.12874281677272,-80.76935871831589,I-80,223,"I-80, Exit 223",200,13,8,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
61,ONE9 Travel Center,ONE9,ONE9 Travel Center #61,12818 SC-56,Clinton,SC,29325,34.509127,-81.858031,I-26,52,"I-26, Exit 52",21,6,3,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,true,net-new-official-location,,,
118,Pilot Travel Center,Pilot,Pilot Travel Center #118,7801 Alcoa Rd,Benton,AR,72019,34.6083708,-92.5334365,I-30,121,"I-30, Exit 121",76,8,8,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true,net-new-official-location,,,
89,ONE9 Travel Center,ONE9,ONE9 Travel Center #89,1526 51st Ave E,Ellenton,FL,34222,27.528565346887518,-82.51230464049281,I-75,224,"I-75, Exit 224",0,4,2,,,false,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Mobile Ordering,false,exact-authoritative-match,5cf98762-e51b-4116-8a71-1934fcc47f35,store_number,
146,Pilot Travel Center,Pilot,Pilot Travel Center #146,995 US-9,Castleton-On-Hudson,NY,12033,42.497923883051094,-73.67463536119345,I-90,12,"I-90, Exit 12",35,7,4,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
154,Pilot Travel Center,Pilot,Pilot Travel Center #154,14808 Warren St,Lost Hills,CA,93249,35.615131,-119.658782,I-5,278,"I-5/CA-46, Exit 278",60,7,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
226,ONE9 Travel Center,ONE9,ONE9 Travel Center #226,505 Patriot Dr,Dandridge,TN,37725,36.03750642605513,-83.44555030270627,I-40,417,"I-40, Exit 417",35,7,4,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,exact-authoritative-match,5fc5e9a4-17f9-40c7-9c65-d3904e90140f 11ed7674-3739-4cfa-9433-51c982f1d544,store_number,"1 colocated service row(s), no map pin"
275,Pilot Travel Center,Pilot,Pilot Travel Center #275,3807 Statesville Ave,Charlotte,NC,28206,35.2704815,-80.8381034,I-85,39,"I-85/77, Exit 39",32,7,5,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Mobile Ordering,true,net-new-official-location,,,
279,Pilot Travel Center,Pilot,Pilot Travel Center #279,769 E Frontage Rd,Rio Rico,AZ,85648,31.430933704281088,-110.96196054038465,I-19,12,"I-19/AZ-289, Exit 12",90,7,11,,,false,Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
309,Pilot Travel Center,Pilot,Pilot Travel Center #309,44133 Fairground Rd,Caldwell,OH,43724,39.7375172,-81.5276703,I-77,25,"I-77, Exit 25",32,5,5,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
319,ONE9 Travel Center,ONE9,ONE9 Travel Center #319,243 Connector 3 SW,Dalton,GA,30720,34.687265430033236,-85.00015391534424,I-75,328,"I-75, Exit 328",100,10,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,exact-authoritative-match,32188e16-75ce-477c-b671-a22f8606b139 ee24eb2e-7055-4814-8772-dc0797965591,store_number,"1 colocated service row(s), no map pin"
368,Pilot Travel Center,Pilot,Pilot Travel Center #368,4030 E Boyd Rd,Decatur,IL,62521,39.907519,-88.895694,I-72,144,"I-72, Exit 144",70,9,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
386,Pilot Travel Center,Pilot,Pilot Travel Center #386,4220 Brooklake Rd NE,Salem,OR,97305,45.04875945286386,-122.974879362258,I-5,263,"I-5, Exit 263",88,8,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
390,Pilot Travel Center,Pilot,Pilot Travel Center #390,2115 S Hwy 395,Stanfield,OR,97875,45.765959885274036,-119.20570871753203,I-84,188,"I-84, Exit 188",112,7,0,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,true,net-new-official-location,,,
412,Pilot Travel Center,Pilot,Pilot Travel Center #412,3624 Roy Messer Hwy,White Pine,TN,37890,36.108963277219395,-83.33399695833587,I-81,4,"I-81, Exit 4",130,9,10,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | IdleAir | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
434,Pilot Travel Center,Pilot,Pilot Travel Center #434,2400 Alliance Gateway Fwy,Fort Worth,TX,76177,32.95772056313138,-97.307540815907,I-35,65,"I-35, Exit 65",181,9,12,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | IdleAir | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true,net-new-official-location,,,
435,Pilot Travel Center,Pilot,Pilot Travel Center #435,2015 Antonio St,Anthony,TX,79821,31.99669374724544,-106.58611026983642,I-10,0,"I-10, Exit 0",79,9,8,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true,net-new-official-location,,,
457,Pilot Travel Center,Pilot,Pilot Travel Center #457,427 East Main Street,Beaver Dam,OH,45808,40.8339660627421,-83.9644058889723,I-75,135,"I-75, Exit 135",105,9,10,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true,exact-authoritative-match,7e79bd38-6884-4e0c-a05e-0303faa8514e e2aee5e7-1139-4566-a012-aa2ab3dc8453,store_number,"1 colocated service row(s), no map pin"
473,Pilot Travel Center,Pilot,Pilot Travel Center #473,23841 W Eames St,Channahon,IL,60410,41.457419491275054,-88.19226205158996,I-55,248,"I-55, Exit 248",25,4,0,,,false,Diesel Lanes | Diesel Mobile Fueling | Premium Wifi | ATM | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
514,Pilot Dealer,Pilot,Pilot Dealer #514,2903 Woodlawn Rd,Lincoln,IL,62656,40.15749940823152,-89.41270526994057,I-55,126,"I-55, Exit 126",100,10,0,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces,true,net-new-official-location,,,
601,Flying J Travel Center,Flying J,Flying J Travel Center #601,6098 McAshan Dr,McCalla,AL,35111,33.32187149007702,-87.04713296574555,I-20,104,"I-20/59, Exit 104",150,12,15,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Barber Shop | CAT Scale | Check Cashing | DEF Lanes | Drivers Lounge | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
663,Flying J Travel Center,Flying J,Flying J Travel Center #663,1670 Waddy Rd,Waddy,KY,40076,38.156100172730525,-85.0671514662502,I-64,43,"I-64/KY-395, Exit 43",110,8,9,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
677,Flying J Travel Center,Flying J,Flying J Travel Center #677,4740 Bethel Rd,Olive Branch,MS,38654,34.928495097566206,-89.79375319153878,,6,"US-78, Exit 6",72,7,9,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
708,Flying J Travel Center,Flying J,Flying J Travel Center #708,1501 Harrisburg Pike,Carlisle,PA,17015,40.23502919205681,-77.12300440873719,I-81,"52 & I-76, Exit 226","I-81, Exit 52 & I-76, Exit 226",252,13,22,,,false,Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
717,Mr. Fuel Travel Center,Mr. Fuel Travel Center,Mr. Fuel Travel Center #717,3324 MO-100,Villa Ridge,MO,63089,38.47573552261796,-90.85136636107242,I-44,251,"I-44, Exit 251",11,7,4,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Lottery | Pegasus | Mobile Ordering,true,net-new-official-location,,,
734,Flying J Travel Center,Flying J,Flying J Travel Center #734,23412 TX-242,New Caney,TX,77357,30.192631343463216,-95.19280440799402,I-69,161,"I-69/US-59, Exit 161",150,8,9,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true,net-new-official-location,,,
749,Flying J Travel Center,Flying J,Flying J Travel Center #749,24279 Rogers Clark Blvd,Ruther Glen,VA,22546,37.93292857497793,-77.47297547846654,I-95,104,"I-95, Exit 104",199,12,15,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,conflicting-record,9b0bb934-cb3a-499c-b362-8f665e065b81,store_number,"store number matches, street address contradicts — no enrichment proposed"
892,Pilot Dealer,Pilot,Pilot Dealer #892,1085 E Main St,Green River,UT,84525,38.995543006688784,-110.14848228991583,I-70,164,"I-70, Exit 164",100,5,0,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Drivers Lounge | Game Room | Pegasus | Public Laundry | Truck Parking Spaces,true,net-new-official-location,,,
1013,Pilot Licensed Location,Pilot,Pilot Licensed Location #1013,561 Business Hub Dr,Belgrade,MT,59714,45.773855,-111.199,I-90,298,"I-90, Exit 298",120,5,0,,,true,Diesel Lanes | Showers | Premium Wifi | ATM | CAT Scale | DEF Lanes | Drivers Lounge | Public Laundry | Truck Parking Spaces,true,net-new-official-location,,,
1023,Pilot Travel Center,Pilot,Pilot Travel Center #1023,1920 E Denman Ave,Lufkin,TX,75901,31.317649847340558,-94.69881432944776,,,US-69 & Loop 287,47,7,4,,,false,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
1030,Pilot Travel Center,Pilot,Pilot Travel Center #1030,12680 S Kedzie Ave,Alsip,IL,60803,41.66295476646664,-87.70057692142639,I-57,"353/I-294, Exit 12A","I-57, Exit 353/I-294, Exit 12A",76,7,4,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
1058,Pilot Dealer,Pilot,Pilot Dealer #1058,17276 NE US Hwy 301,Waldo,FL,32694,29.81425446967623,-82.16885905772416,,,Hwy 301,50,5,0,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces,true,net-new-official-location,,,
4563,Flying J Travel Center,Flying J,Flying J Travel Center #4563,7833 Linglestown Rd,Harrisburg,PA,17112,40.35247188551114,-76.72698970428182,I-81,77,"I-81, Exit 77",115,9,10,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | CAT Scale | Cylinder Propane | DEF Lanes | Pegasus | Truck Parking Spaces | Truck Wash | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
4561,Pilot Travel Center,Pilot,Pilot Travel Center #4561,3460 Madison Hwy,Valdosta,GA,31601,30.75426741025947,-83.27322114484404,I-75,11,"I-75, Exit 11",84,8,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,exact-authoritative-match,f6a155cc-c10c-455a-b854-a3643c00535d a732e380-3d35-43b5-916a-47198de64c3e,store_number,"1 colocated service row(s), no map pin"
4566,Pilot Travel Center,Pilot,Pilot Travel Center #4566,2768 E Cherokee St,Blacksburg,SC,29702,35.16609438580472,-81.45147499183216,I-85,106,"I-85, Exit 106",114,9,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
4568,Pilot Travel Center,Pilot,Pilot Travel Center #4568,574 Bettis Academy Rd,Graniteville,SC,29829,33.60434790107278,-81.84092747668649,I-20,11,"I-20, Exit 11",56,8,6,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | CAT Scale | Cylinder Propane | DEF Lanes | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
237,Pilot Travel Center,Pilot,Pilot Travel Center #237,951 Work St,Salinas,CA,93901,36.66519154582201,-121.63015090798662,,326B,"US-101, Exit 326B",62,6,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Live Parking | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
53,Pilot Travel Center,Pilot,Pilot Travel Center #53,15559 TN-13,Hurricane Mills,TN,37078,35.88214835938339,-87.80100000398463,I-40,143,"I-40, Exit 143",180,11,8,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | IdleAir | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true,blank-only-enrichment,7e949312-8bda-4eb3-b270-bed57d56fdc0 f18a5587-4631-4b0c-83a2-55d6c12ad078,store_number,"1 colocated service row(s), no map pin"
76,Pilot Travel Center,Pilot,Pilot Travel Center #76,4416 Skyland Blvd E,Tuscaloosa,AL,35405,33.17315449929658,-87.47864689131801,I-20,76,"I-20/59, Exit 76",71,8,8,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true,net-new-official-location,,,
62,Pilot Travel Center,Pilot,Pilot Travel Center #62,3006 N Williston Rd,Florence,SC,29506,34.26660455384255,-79.70179281338103,I-95,170,"I-95, Exit 170",75,8,3,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,exact-authoritative-match,a77f9fde-3b52-4f86-961d-91e168d388d5 a74a9bb2-0a9c-4427-89d6-22e8715c7b7e,store_number,"1 colocated service row(s), no map pin"
163,Pilot Travel Center,Pilot,Pilot Travel Center #163,1124 E Motel Dr,Lordsburg,NM,88045,32.3425833,-108.6810972,I-10,24,"I-10, Exit 24",95,8,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Mobile Ordering,true,net-new-official-location,,,
242,Pilot Travel Center,Pilot,Pilot Travel Center #242,1851 W 400 N,Shelbyville,IN,46176,39.5835087313222,-85.81814804458672,I-74,109,"I-74, Exit 109",68,8,7,,,false,Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
335,Pilot Travel Center,Pilot,Pilot Travel Center #335,103 Grimshaw St,Rayville,LA,71269,32.45940758197811,-91.7593958134918,I-20,138,"I-20/US-425, Exit 138",85,7,5,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
365,Pilot Travel Center,Pilot,Pilot Travel Center #365,22717 Ave 18 1/2,Madera,CA,93637,37.018868769700454,-120.13309610344751,,159,"CA-99, Exit 159",81,12,11,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | DEF Lanes | IdleAir | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Southern Tire Mart at Pilot / Truck Care | Mobile Ordering,true,net-new-official-location,,,
372,Pilot Travel Center,Pilot,Pilot Travel Center #372,31642 Castiac Rd,Castaic,CA,91384,34.49454436998097,-118.61992535714718,I-5,176,"I-5, Exit 176",54,8,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Live Parking | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
403,ONE9 Travel Center,ONE9,ONE9 Travel Center #403,1915 E Raccoon Valley Dr,Heiskell,TN,37754,36.11106959328141,-84.02018275210868,I-75,117,"I-75, Exit 117",25,6,1,,,true,Diesel Lanes | Showers | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Pegasus | Truck Parking Spaces | Mobile Ordering,true,exact-authoritative-match,f9e3ec91-4b3f-4c36-a174-96eafb9e907e bc4ff9f8-a138-4a2c-9fc2-e6b9017faea7,store_number,"1 colocated service row(s), no map pin"
441,Pilot Travel Center,Pilot,Pilot Travel Center #441,3240 Point Mallard Parkway,Decatur,AL,35603,34.538005252844954,-86.91097605562913,I-65,334,"I-65, Exit 334",70,8,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true,exact-authoritative-match,28ed1b57-596a-42e2-bcb7-55434d32fe02 00ced50d-f1f6-4e29-9a16-1b866beedef0,store_number,"1 colocated service row(s), no map pin"
454,Pilot Travel Center,Pilot,Pilot Travel Center #454,1365 US-42,London,OH,43140,39.95909639570451,-83.36973511772156,I-70,79,"I-70, Exit 79",72,9,9,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
492,Pilot Travel Center,Pilot,Pilot Travel Center #492,170 Valley Street,Arkadelphia,AR,71923,34.18667113294739,-93.07017095887814,I-30,78 & Hwy 7,"I-30, Exit 78 & Hwy 7",78,8,7,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
495,Pilot Travel Center,Pilot,Pilot Travel Center #495,4126 IA-21,Brooklyn,IA,52211,41.697904615668605,-92.35908192846355,I-80,201,"I-80, Exit 201",90,7,0,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
498,Pilot Travel Center,Pilot,Pilot Travel Center #498,1954 S Mississippi Ave,Atoka,OK,74525,34.36463852185388,-96.14065662570454,,,US-69 & Redbud Ln,63,8,5,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
559,Pilot Travel Center,Pilot,Pilot Travel Center #559,706 E I-20 Frontage Rd,Big Spring,TX,79720,32.265696375745854,-101.47432580585442,I-20,178,"I-20, Exit 178",71,8,7,,,false,Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
596,Pilot Travel Center,Pilot,Pilot Travel Center #596,2424 Wadhams Rd,Smiths Creek,MI,48074,42.9767061,-82.5421841,I-69,196,"I-69, Exit 196",65,8,5,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | Wifi | ATM | CAT Scale | Cylinder Propane | DEF Lanes | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Mobile Ordering,true,net-new-official-location,,,
653,Flying J Travel Center,Flying J,Flying J Travel Center #653,3231 E 181st Ave,Hebron,IN,46341,41.28823088555331,-87.29464827116392,I-65,240,"I-65, Exit 240",366,10,15,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | CB Shop | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Bridgestone Tire Monitoring | Mobile Ordering,true,exact-authoritative-match,9172f64e-0836-45fd-a136-3e9c914b7097 1d1a2d76-46d8-46cc-9759-a9da44e2e53b,store_number,"1 colocated service row(s), no map pin"
633,Flying J Travel Center,Flying J,Flying J Travel Center #633,3600 GA-77,Greensboro,GA,30642,33.547337634902306,-83.07739674662704,I-20,138,"I-20, Exit 138",189,8,9,,,true,Diesel Lanes | Showers | Prime Parking Spaces | Diesel Mobile Fueling | Premium Wifi | ATM | Bulk Propane | CAT Scale | Check Cashing | Cylinder Propane | DEF Lanes | Drivers Lounge | Game Room | Lottery | Pegasus | Public Laundry | Truck Parking Spaces | Electric Vehicle Charging Station | Bridgestone Tire Monitoring | Mobile Ordering,true,net-new-official-location,,,
